City,Gender,Age,ItemType,Price,Units Sold,Profit,Date of purchase,Feedback (out of 5 stars),Payment Method,Discount Applied,Return Status
Bengaluru,Male,56,Clothing,307.64,31,2454.23,2023-04-04,2.5,Wallet,No,Not Returned
Jaipur,Female,38,Books,72.35,3,35.66,2023-09-15,3.9,Net Banking,Yes,Returned
Bengaluru,Female,46,Clothing,127.99,24,722.58,2023-12-18,1.9,UPI,No,Returned
Bengaluru,Male,21,Electronics,315.07,29,1069.96,2023-07-01,4.9,Cash,No,Not Returned
Hyderabad,Male,56,Books,326.32,8,466.24,2023-07-31,1.5,Cash,No,Not Returned
Chennai,Female,31,Toys,144.92,32,510.96,2023-11-26,1.1,Net Banking,No,Returned
Jaipur,Female,60,Electronics,68.1,41,564.76,2023-03-01,3.7,Cash,No,Returned
Kolkata,Male,22,Groceries,315.27,27,1416.45,2023-06-16,1.7,Wallet,No,Not Returned
Delhi,Female,28,Toys,139.96,27,421.69,2023-05-06,4.5,UPI,Yes,Not Returned
Jaipur,Male,51,Toys,18.89,16,52.77,2023-09-02,1.3,Wallet,No,Not Returned
Chennai,Female,18,Electronics,303.89,4,225.42,2023-12-05,5.0,UPI,No,Returned
Bengaluru,Female,32,Books,484.23,7,404.7,2023-06-18,3.5,Credit Card,No,Returned
Bengaluru,Female,53,Clothing,31.65,24,159.89,2023-02-28,1.9,UPI,Yes,Not Returned
Hyderabad,Male,22,Toys,320.63,21,1529.17,2023-03-05,2.4,Credit Card,Yes,Returned
Chennai,Female,21,Groceries,284.55,2,135.14,2023-09-03,4.1,Credit Card,No,Not Returned
Pune,Female,18,Groceries,438.17,25,2766.23,2023-08-08,1.2,Cash,Yes,Not Returned
Chennai,Male,40,Electronics,48.61,15,98.87,2023-05-22,1.1,UPI,No,Not Returned
Mumbai,Female,57,Electronics,140.34,34,1424.45,2023-04-09,2.3,UPI,No,Returned
Bengaluru,Female,45,Electronics,178.7,43,1319.06,2023-03-21,2.2,UPI,Yes,Returned
Chennai,Male,36,Groceries,412.7,7,368.81,2023-10-09,3.3,Net Banking,No,Returned
Kolkata,Male,48,Clothing,270.71,47,2926.42,2023-11-12,2.6,Wallet,No,Not Returned
Mumbai,Female,57,Books,165.9,26,871.93,2023-05-21,2.8,Wallet,Yes,Returned
Lucknow,Female,49,Groceries,334.61,28,1556.02,2023-02-23,1.7,Credit Card,No,Not Returned
Lucknow,Female,57,Clothing,7.45,42,74.77,2023-06-08,2.3,Wallet,No,Not Returned
Lucknow,Male,65,Clothing,405.49,15,679.22,2023-08-31,1.5,Cash,No,Not Returned
Mumbai,Male,53,Toys,11.48,5,17.2,2023-09-17,2.0,Net Banking,Yes,Returned
Jaipur,Male,52,Groceries,272.14,45,2811.69,2023-04-23,2.9,UPI,Yes,Returned
Mumbai,Female,47,Electronics,256.78,42,1655.87,2023-12-24,4.1,Cash,No,Returned
Bengaluru,Female,43,Toys,71.27,45,361.96,2023-12-15,4.1,UPI,Yes,Returned
Lucknow,Female,41,Clothing,204.0,49,2049.86,2023-03-09,1.3,Cash,No,Returned
Chennai,Female,29,Electronics,425.75,1,87.97,2023-09-20,3.2,Wallet,No,Not Returned
Chennai,Male,37,Clothing,231.64,29,894.19,2023-04-02,3.0,Cash,No,Returned
Delhi,Female,54,Clothing,180.73,35,1339.17,2023-01-23,3.9,Net Banking,Yes,Returned
Ahmedabad,Female,63,Electronics,297.48,39,2836.06,2023-05-02,2.8,Net Banking,No,Returned
Delhi,Male,18,Clothing,409.96,21,2049.58,2023-04-09,4.1,Cash,Yes,Returned
Kolkata,Female,25,Books,335.26,41,2187.34,2023-05-21,1.2,UPI,No,Not Returned
Pune,Female,26,Clothing,295.88,50,3322.13,2023-09-25,3.1,UPI,Yes,Returned
Delhi,Male,46,Toys,428.35,49,4960.43,2023-06-15,3.7,Wallet,No,Not Returned
Jaipur,Female,20,Books,76.33,15,273.02,2023-08-28,2.6,Net Banking,No,Returned
Bengaluru,Female,35,Groceries,199.21,2,111.52,2023-09-06,4.1,Credit Card,No,Returned
Ahmedabad,Male,31,Groceries,19.09,30,70.65,2023-03-21,1.5,Net Banking,Yes,Not Returned
Pune,Male,48,Clothing,136.23,34,985.44,2023-01-31,3.6,Cash,Yes,Not Returned
Jaipur,Female,65,Books,148.84,1,33.65,2023-11-19,3.9,Net Banking,No,Returned
Bengaluru,Male,57,Electronics,337.27,48,2361.79,2023-01-17,4.7,Cash,Yes,Returned
Ahmedabad,Female,31,Books,478.99,35,4288.21,2023-08-02,2.0,Cash,Yes,Not Returned
Chennai,Female,28,Books,17.27,50,139.75,2023-11-29,2.2,UPI,No,Returned
Delhi,Female,64,Toys,385.15,19,1966.05,2023-09-07,1.2,UPI,Yes,Returned
Ahmedabad,Male,34,Toys,136.55,9,151.59,2023-01-21,2.7,Net Banking,Yes,Not Returned
Jaipur,Male,62,Groceries,384.76,27,2271.95,2023-01-04,4.0,Wallet,Yes,Not Returned
Mumbai,Male,46,Clothing,141.38,4,110.54,2023-05-01,1.1,Wallet,No,Not Returned
Bengaluru,Male,42,Groceries,214.73,26,1597.52,2023-04-26,2.1,Cash,No,Returned
Delhi,Female,63,Electronics,27.18,24,168.12,2023-06-15,4.0,Wallet,Yes,Not Returned
Pune,Female,22,Toys,448.78,38,2280.17,2023-02-26,1.6,UPI,No,Returned
Pune,Male,48,Electronics,259.04,31,899.59,2023-10-27,2.7,Credit Card,No,Returned
Mumbai,Male,45,Books,272.93,21,1651.66,2023-08-25,1.3,Credit Card,Yes,Not Returned
Jaipur,Male,62,Groceries,353.79,14,746.58,2023-02-16,1.9,UPI,No,Returned
Pune,Male,41,Toys,285.72,43,2047.1,2023-11-26,3.9,Credit Card,Yes,Not Returned
